Requirement,Clause ID,Description,Mapped Reference Model Function(s),Traceability,Explainability,Evidence Integrity,Adaptability,Action Governance,Reasoning,,,
,4.2.1.2,Wireless networks transmitting PAN or connected to the CDE use industry best practices to implement strong cryptography for authentication and transmission.,Control Implementation Validation,Indirect : Practices→controls mapping can be recorded; not required.,Indirect : “Best practices” are understandable to reviewers.,Indirect : Config/test artefacts exist; immutability not stated.,Indirect : Best practices evolve; posture must follow.,Specified : Implement per best practice = governance.,Indirect : Selecting suites/settings involves reasoning.,,,
,4.2.2,PAN is secured with strong cryptography whenever it is sent via end-user messaging technologies.,Control Implementation Validation,Specified : PAN-via-messaging→crypto control mapping explicit.,Indirect : Method choice can be explained; no duty.,Indirect : Evidence of crypto exists; integrity not mandated.,Indirect : Methods evolve with tech/threats.,Specified : Enforcing crypto use is governance.,Indirect : Selecting mechanisms involves reasoning.,,,
5: Protect all systems and networks from malicious software,5.1.1,"All security policies and operational procedures that are identified in Requirement 5 are documented, kept up to date, in use, and known to all affected parties.",Requirement-to-Control Mapping and Gap Analysis,Specified : Policy→procedure→practice lineage.,Indirect : Awareness aids understanding.,Indirect : Records exist; no immutability cue.,Specified : “Kept up to date” = adaptation.,Specified : Ensuring use/awareness is governance.,Indirect : Update decisions require evaluation.,,,
,5.1.2,"Roles and responsibilities for performing activities in Requirement 5 are documented, assigned, and understood.",Requirement-to-Control Mapping and Gap Analysis,Specified : Role→activity mapping to owners.,Indirect : “Understood” helps reviewers.,Indirect : Role records exist; integrity not stated.,Indirect : Roles may change.,Specified : Assignment is governance.,Indirect : Allocation involves reasoning.,,,
,5.2.1,"An anti-malware solution(s) is deployed on all system components, except for those system components identified in periodic evaluations per Requirement 5.2.3 that concludes the system components are not at risk from malware.",Control Implementation Validation,Specified : Deploy everywhere with explicit exception path (per 5.2.3) = traceable coverage.,Indirect : Exception rationale reviewable via 5.2.3.,Indirect : Deployment/exception records exist; integrity not stated.,Indirect : Coverage must change with risk; cadence via 5.2.3.,Specified : Deployment/exception approval is governance.,Indirect : Determining exception applicability involves reasoning.,,,
,5.2.2,"The deployed anti-malware solution(s) detects, removes, blocks, or contains all known types of malware.",Control Implementation Validation,Indirect : Capabilities→coverage mapping can be shown; not mandated.,Indirect : Coverage is interpretable; no explanation duty.,Indirect : Logs/results exist; integrity not specified.,Indirect : “Known types” evolve; updates implied (5.3.1).,Specified : Operating capability is governance.,Indirect : Tuning/signature choices involve reasoning.,,,
,5.2.3,"Any system components that are not at risk for malware are evaluated periodically to include a documented list, identification and evaluation of evolving threats, and confirmation whether such components continue to not require anti-malware protection.",Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Specified : Documented list + evaluations create explicit lineage for exceptions.,Specified : Evaluation content (threat identification/evaluation) is inherently explainable.,Indirect : Docs exist; immutability not required.,Specified : “Evaluated periodically” + “evolving threats”.,Specified : Formal confirmation path is governance.,Specified : Threat evaluation and confirmation demand structured reasoning.,,,
,5.2.3.1,The frequency of periodic evaluations of system components identified as not at risk for malware is defined in the entity’s targeted risk analysis.,Vulnerability and Risk Assessments (VA-RA),Indirect : Risk analysis→frequency decision is traceable.,Indirect : Rationale can be articulated via TRA.,Not specified,Specified : Frequency derived from risk analysis = adaptive cadence.,Specified : Setting frequency via TRA is governance.,Specified : TRA is a formal reasoning exercise.,,,
,5.3.1,The anti-malware solution(s) is kept current via automatic updates.,Control Implementation Validation,Indirect : Update records map version→date; not mandated as trace.,Not specified,Not specified,Specified : “Kept current via automatic updates”.,Specified : Operating update mechanism is governance.,Not specified,,,
,5.3.2,"The anti-malware solution(s) performs periodic scans and active or real-time scans, or performs continuous behavioural analysis of systems or processes.",Continuous Monitoring and Anomaly Detection,Indirect : Scan/analysis→detections lineage can be shown; not required.,Indirect : Results are interpretable to reviewers.,Indirect : Logs/results exist; integrity not stated.,Indirect : Tuning/modes evolve with risk.,Specified : Operating scan/analysis modes is governance.,Specified : Classification of behaviour and detections involves structured reasoning.,,,
,5.3.2.1,"If periodic malware scans are performed, the frequency of scans is defined in the entity’s targeted risk analysis.",Vulnerability and Risk Assessments (VA-RA),Indirect : TRA→frequency mapping is traceable.,Indirect : Rationale lives in TRA.,Not specified,Specified : Frequency adapts based on risk.,Specified : Approving frequency is governance.,Specified : TRA is formal reasoning.,,,
,5.3.3,"For removable electronic media, the anti-malware solution(s) performs automatic scans or continuous behavioural analysis when the media is inserted, connected, or logically mounted.",Continuous Monitoring and Anomaly Detection,Indirect : Trigger→action chain (insert→scan/analyse) traceable; not mandated.,Indirect : Triggers/actions are understandable.,Indirect : Scan logs exist; integrity not specified.,Indirect : Tuning evolves with threat/media types.,Specified : Enforcing trigger-based scanning is governance.,Indirect : Choosing modes/responses involves reasoning.,,,
,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,Evidence Collection and Management,Specified : “In accordance with 10.5.1” ties logs to a defined retention/control regime.,Indirect : Logs enable human review; no narration duty.,"Indirect : Integrity is implied by the cross-reference, but this clause only requires enable/retain.",Indirect : Retention windows may change with policy.,Specified : Enabling/retaining per policy is governance.,Indirect : Interpreting alerts/findings involves reasoning.,,,
,5.3.5,"Anti-malware mechanisms cannot be disabled or altered by users, unless specifically documented and authorised by management on a case-by-case basis for a limited time period.",Control Implementation Validation; Evidence Collection and Management,Indirect : Exception cases map user/system→approval→window; not mandated as formal trace.,Indirect : Documented authorisation makes the exception understandable.,Indirect : Authorisation records exist; immutability not specified.,Indirect : Limited-time exceptions imply adaptive reversion.,Specified : “Authorised by management … case-by-case” = explicit governance.,Indirect : Assessing risk/need per exception requires reasoning.,,,
,5.4.1,Processes and automated mechanisms are in place to detect and protect personnel against phishing attacks.,Continuous Monitoring and Anomaly Detection,Indirect : Mechanism→detection→protection chain can be logged; not mandated.,Indirect : Training/alerts explain protections; not required.,"Indirect : Evidence exists (alerts, metrics); integrity not stated.",Indirect : Tactics evolve; controls must adapt.,Specified : Operating processes and mechanisms is governance.,Specified : Detection and decisioning about protection actions are reasoning activities.,,,
,5.4.1,Processes and automated mechanisms are in place to detect and protect personnel against phishing attacks.,Continuous Monitoring and Anomaly Detection,,,,,,,,,
6: Develop and maintain secure systems and software,6.1.1,All security policies and operational procedures that are identified in Requirement 6 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.,Requirement-to-Control Mapping and Gap Analysis,Specified : Documented→in-use→known forms policy→procedure→practice lineage.,Indirect : Awareness aids human understanding; no duty to narrate rationale.,Indirect : Records exist; immutability not stated.,Specified : “Kept up to date” mandates revision with change.,Specified : Ensuring use/awareness is governance.,Indirect : Deciding updates/applicability involves evaluation.,,,
,6.1.2,"Roles and responsibilities for performing activities in Requirement 6 are documented, assigned, and understood.",Requirement-to-Control Mapping and Gap Analysis,Specified : Documented role→activity mapping to accountable owners.,Indirect : “Understood” supports clarity; no formal explanation required.,Indirect : Role records exist; integrity not stated.,Indirect : Roles can change; cadence not mandated.,Specified : “Assigned” = formal delegation.,Indirect : Allocation choices involve reasoning.,,,
,6.2.1,"Bespoke and custom software are developed securely, based on industry standards and/or best practices, in accordance with PCI DSS, and incorporating security throughout the SDLC.",Control Implementation Validation,Specified : Maps requirements/best practices→SDLC controls and artefacts.,Indirect : Referencing standards improves comprehension; no narrative duty.,Indirect : SDLC artefacts exist; immutability not mandated.,Specified : “Throughout the SDLC” implies continual application as software evolves.,Specified : Enforcing secure SDLC is governance.,Specified : Selecting and applying controls per standard is structured reasoning.,,,
,6.2.2,"Software development personnel working on bespoke and custom software are trained at least once every 12 months on secure development, coding, and use of testing tools.",Requirement-to-Control Mapping and Gap Analysis,Indirect : Training records tie people→competency; not a control→mandate trace.,Indirect : Syllabi aid understanding; no explanation duty.,Indirect : Training records exist; integrity not specified.,Specified : Annual cadence = adaptation of skills.,Specified : Mandated training is governance.,Indirect : Determining training scope involves reasoning.,,,
,6.2.3,Bespoke and custom software is reviewed prior to release into production to identify and correct potential coding vulnerabilities.,Control Implementation Validation; Evidence Collection and Management,Specified : Review→findings→remediation links to release gate.,Indirect : Findings/defect notes are interpretable.,Indirect : Review artefacts exist; immutability not stated.,Indirect : Reviews occur at each release/change.,Specified : Pre-production review gate is governance.,Specified : Identifying and deciding fixes is structured reasoning.,,,
,6.2.4,"If manual code reviews are performed, they are conducted by someone other than the code author, reviewed for security, and approved by management before release.",Control Implementation Validation; Evidence Collection and Management,Specified : Reviewer independence→approval mapping explicit.,Indirect : Review notes make decisions understandable.,Indirect : Review/approval records exist; integrity not mandated.,Indirect : Applies per release; cadence implicit.,Specified : “Approved by management” = explicit governance.,Specified : Security review and approval require formal reasoning.,,,
,6.2.5,"Software engineering techniques or other methods are defined and in use to prevent or mitigate common software attacks (injection, XSS, CSRF, weak crypto, access control flaws, etc.).",Control Implementation Validation,Specified : Techniques map threats→controls with defined usage.,Indirect : Mappings are explainable; no duty to narrate.,Indirect : Artefacts (policies/configs) exist; integrity not stated.,Indirect : Techniques evolve with threats.,Specified : “Defined and in use” under management.,Specified : Selecting mitigations per threat class is structured reasoning.,,,
,6.3.1,"Security vulnerabilities are identified and managed using industry sources, assigned risk rankings, and tracked for bespoke, custom, and third-party software.",Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Specified : Source→identify→rank→track establishes an auditable chain.,Indirect : Rankings and notes explain prioritisation.,Indirect : Tracking records exist; immutability not mandated.,Specified : Continuous identification and tracking = adaptation.,Specified : Managing lifecycle is governance.,Specified : Risk ranking and disposition are formal reasoning.,,,
,6.3.2,"An inventory of bespoke, custom, and third-party software components is maintained to facilitate vulnerability and patch management.",Evidence Collection and Management,Specified : Inventory ties components→patch/vulnerability posture.,Indirect : Inventory aids understanding.,Indirect : Inventory exists; integrity not mandated.,Specified : “Maintained” = kept current.,Indirect : Governance implied; approvals not explicit.,Indirect : Curation involves evaluation.,,,
,6.3.3,All system components are protected from known vulnerabilities by installing applicable security patches/updates within defined timelines.,Control Implementation Validation; Evidence Collection and Management,Specified : Known vuln→patch within timeline = explicit mapping.,Indirect : Justification via timelines is reviewable.,Indirect : Patch evidence exists; immutability not mandated.,Specified : Timelines enforce ongoing adaptation.,Specified : Enforcing SLAs for patching is governance.,Specified : Assess applicability/urgency is structured reasoning.,,,
,6.4.1,"For public-facing web applications, either (a) annual or post-change manual/automated vulnerability assessments are performed, or (b) an automated technical solution (e.g., WAF/RASP) is implemented to detect and prevent attacks.",Control Implementation Validation,Specified : Choice A/B maps assurance approach→control posture.,Indirect : Rationale for A vs B is explainable.,Indirect : Evidence (scan reports/WAF configs) exists; no immutability.,Specified : Annual/post-change cadence or continuous solution.,Specified : Selecting and operating A or B is governance.,Specified : Selecting and tuning approach requires formal reasoning.,,,
,6.4.2,"For public-facing web applications, an automated technical solution (e.g., WAF, RASP) is deployed, actively running, generating audit logs, and blocking or alerting on web-based attacks.",Control Implementation Validation; Continuous Monitoring and Anomaly Detection; Evidence Collection and Management,Specified : Deployed→running→logging→blocking/alerting creates a clear evidence chain.,Indirect : Logs/alerts are interpretable.,Specified : “Generating audit logs” and enforcement imply evidence integrity expectations.,Indirect : Tuning evolves with threats.,Specified : Deployment and operation are governance.,Specified : Detection and blocking logic is structured reasoning.,,,
,6.4.3,"All payment page scripts executed in the consumer’s browser are authorised, integrity-checked, and inventoried with justification.",Control Implementation Validation; Evidence Collection and Management,Specified : Script→authorisation→integrity→inventory with justification = full lineage.,Specified : “Justification” requires explicit rationale.,Specified : “Integrity-checked” + inventory imply artefact integrity and tamper-evidence.,Indirect : Script set changes with site updates.,Specified : Authorisation is a governance gate.,Specified : Deciding necessity and verifying integrity require formal reasoning.,,,
,6.5.1,"Changes to system components in production follow established change procedures including approval, security impact assessment, testing, and rollback processes.",Requirement-to-Control Mapping and Gap Analysis; Evidence Collection and Management,Specified : Change→approval→SIA→test→rollback is an explicit trace chain.,Indirect : SIA/test results explain choices.,Indirect : Change records exist; immutability not mandated.,Specified : Procedure ensures controlled adaptation.,Specified : Approvals and gates are governance.,Specified : Impact assessment/testing is formal reasoning.,,,
,6.5.2,"After a significant change, all applicable PCI DSS requirements are confirmed to be in place and documentation is updated.",Control Implementation Validation; Evidence Collection and Management,Specified : Post-change confirmation maps change→requirements→evidence.,Indirect : Updated docs make status clear.,Indirect : Confirmation records exist; integrity not stated.,Specified : Triggered reassessment/update = adaptation.,Specified : Confirmation and updates are governance.,Indirect : Determining applicability involves reasoning.,,,
,6.5.3,Pre-production environments are separated from production with enforced access controls.,Control Implementation Validation,Indirect : Separation design→controls can be mapped; not mandated.,Indirect : Clear separation is understandable.,Indirect : Evidence (configs) exists; integrity not stated.,Indirect : Controls evolve with environment.,Specified : Enforced separation is governance.,Indirect : Defining boundaries requires reasoning.,,,
,6.5.4,Roles and functions are separated between production and pre-production environments to ensure accountability.,Requirement-to-Control Mapping and Gap Analysis,Indirect : Role mappings can be traced; not compelled.,Indirect : Separation rationale is clear.,Indirect : Role records exist; no integrity cue.,Indirect : May change with org structure.,Specified : Enforcing separation is governance.,Indirect : Designing separation involves reasoning.,,,
,6.5.5,"Live PANs are not used in pre-production environments, except where included in the CDE and protected per PCI DSS.",Control Implementation Validation,Specified : Data class→environment policy mapping explicit.,Indirect : Exception basis is explainable.,Indirect : Evidence of controls exists; integrity not mandated.,Indirect : Controls adapt with environments.,Specified : Enforcing prohibition/exception is governance.,Indirect : Determining exception scope involves reasoning.,,,
7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7.1.1,All security policies and operational procedures that are identified in Requirement 7 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.,Requirement-to-Control Mapping and Gap Analysis,Specified : Policy→procedure→practice lineage.,Indirect : Awareness aids understanding.,Indirect : Records exist; no immutability cue.,Specified : “Kept up to date” = adaptation.,Specified : Ensuring use/awareness is governance.,Indirect : Update decisions require evaluation.,,,
,7.1.2,"Roles and responsibilities for performing activities in Requirement 7 are documented, assigned, and understood.",Requirement-to-Control Mapping and Gap Analysis,Specified : Role→activity mapping to owners.,Indirect : “Understood” helps reviewers.,Indirect : Role records exist; integrity not stated.,Indirect : Roles may change.,Specified : Assignment is governance.,Indirect : Allocation involves reasoning.,,,
,7.2.1,An access control model is defined and includes granting access as follows: • Appropriate access depending on business needs. • Based on job classification and function. • Least privileges required to perform the job.,Requirement-to-Control Mapping and Gap Analysis,Specified : Model maps criteria→grant rules→lineage to business need.,Indirect : Model clarifies rationale; no narration duty.,Indirect : Model artefacts exist; integrity not stated.,Indirect : Model evolves with org needs.,Specified : Defining the model is governance.,Specified : Balancing least privilege vs need is formal reasoning.,,,
,7.2.2,"Access is assigned to users, including privileged users, based on job classification and function, and least privileges necessary to perform responsibilities.",Control Implementation Validation; Evidence Collection and Management,Specified : Assignment rules map job→rights with least privilege.,Indirect : Basis is understandable via roles.,Indirect : Assignment records exist; integrity not stated.,Indirect : Roles change; reassignment needed.,Specified : Assigning rights is governance.,Indirect : Determining minimum rights requires reasoning.,,,
,7.2.3,Required privileges are approved by authorised personnel.,Requirement-to-Control Mapping and Gap Analysis; Evidence Collection and Management,Specified : Request→approval mapping is explicit lineage.,Indirect : Approval notes explain decisions.,Indirect : Approval records exist; integrity not mandated.,Indirect : Privilege sets change over time.,Specified : “Approved by authorised personnel” = governance.,Indirect : Assessing appropriateness is reasoning.,,,
,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed at least once every six months to ensure appropriateness, with issues addressed and management acknowledgement.",Audit and Reporting; Evidence Collection and Management,Specified : Review→issues→management acknowledgement creates an audit trail.,Indirect : Reviews articulate rationale; no duty to narrate method.,Indirect : Review artefacts exist; integrity not stated.,Specified : Six-monthly cadence mandates adaptation.,Specified : Reviews and acknowledgement are governance.,Indirect : Evaluating appropriateness involves reasoning.,,,
,7.2.5,"All application and system accounts and related access privileges are assigned and managed based on least privilege and limited to required systems, applications, or processes.",Control Implementation Validation,Specified : Least-privilege mapping explicit.,Indirect : Basis is understandable; no narration duty.,Indirect : Evidence exists; integrity not stated.,Indirect : Changes require reassessment.,Specified : Managing accounts is governance.,Indirect : Determining limits requires reasoning.,,,
,7.2.5.1,"All access by application and system accounts and related privileges is reviewed periodically (per targeted risk analysis) to confirm appropriateness, remediate issues, and obtain management acknowledgement.",Audit and Reporting; Evidence Collection and Management,Specified : TRA→review cadence→remediation→acknowledgement = clear chain.,Indirect : Reviews/TRA make rationale explicit.,Indirect : Logs/reports exist; integrity not mandated.,Specified : Cadence derives from risk analysis.,Specified : Remediation and acknowledgement are governance.,Specified : TRA and review decisions are formal reasoning.,,,
,7.2.6,All user access to query repositories of stored cardholder data is restricted via applications or programmatic methods based on roles and least privilege; only administrators have direct query access.,Control Implementation Validation,Specified : Role→method restriction mapping explicit.,Indirect : Rationale is understandable.,Indirect : Config/log evidence exists; integrity not stated.,Indirect : Roles/needs evolve.,Specified : Enforcing restrictions is governance.,Indirect : Determining exceptions/admin scope requires reasoning.,,,
,7.3.1,An access control system(s) is in place that restricts access based on a user’s need to know and covers all system components.,Control Implementation Validation,Specified : System maps need-to-know→enforcement across scope.,Indirect : System configuration is interpretable.,Indirect : Evidence exists; integrity not mandated.,Indirect : Controls evolve with needs.,Specified : Operating the system is governance.,Indirect : Modelling need-to-know involves reasoning.,,,
,7.3.2,"The access control system(s) is configured to enforce permissions assigned to individuals, applications, and systems based on job classification and function.",Control Implementation Validation,Specified : Job→permissions mapping explicit.,Indirect : Mapping is reviewable.,Indirect : Config/assignments exist; integrity not stated.,Indirect : Roles change; configs must follow.,Specified : Enforcing configuration is governance.,Indirect : Determining mappings requires reasoning.,,,
,7.3.3,The access control system(s) is set to “deny all” by default.,Control Implementation Validation,Specified : Default-deny→explicit allow rules traceable to need.,Indirect : Rationale is evident.,Indirect : Evidence via configs/logs; no integrity mandate.,Indirect : Allow set evolves.,Specified : Default policy is governance.,Indirect : Curating exceptions involves reasoning.,,,
8: Identify Users and Authenticate Access to System Components,8.1.1,All security policies and operational procedures that are identified in Requirement 8 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.,Requirement-to-Control Mapping and Gap Analysis,Specified : Policy→procedure→practice lineage.,Indirect : Awareness aids understanding.,Indirect : Records exist; no immutability cue.,Specified : “Kept up to date” = adaptation.,Specified : Ensuring use/awareness is governance.,Indirect : Update decisions require evaluation.,,,
,8.1.2,"Roles and responsibilities for performing activities in Requirement 8 are documented, assigned, and understood.",Requirement-to-Control Mapping and Gap Analysis,Specified : Role→activity mapping to owners.,Indirect : “Understood” helps reviewers.,Indirect : Role records exist; integrity not stated.,Indirect : Roles may change.,Specified : Assignment is governance.,Indirect : Allocation involves reasoning.,,,
,8.2.1,All users are assigned a unique ID before access to system components or cardholder data is allowed.,Control Implementation Validation; Evidence Collection and Management,"Specified : User→unique ID→access mapping explicit, enabling lineage.",Indirect : Basis is understandable.,Indirect : ID records exist; integrity not mandated.,Indirect : IDs lifecycle adapts with users.,Specified : Enforcing unique IDs is governance.,Indirect : Handling exceptions/service accounts requires reasoning.,,,
,8.2.2,"Group, shared, or generic IDs or other shared authentication credentials are only used when necessary on an exception basis, with controls ensuring accountability and traceability.",Control Implementation Validation; Evidence Collection and Management,Specified : Exception→controls→traceability mapping explicit.,Specified : “Ensuring accountability and traceability” enhances explanation of who did what.,Indirect : Logs/approvals exist; integrity not stated.,Indirect : Exceptions change over time.,Specified : Exception use under controls is governance.,Indirect : Deciding necessity and controls involves reasoning.,,,
,8.2.3,Service providers with remote access to customer premises use unique authentication factors for each customer premises.,Control Implementation Validation,Specified : Customer→unique factor mapping explicit.,Indirect : Rationale is understandable.,Indirect : Records/configs exist; integrity not mandated.,Indirect : Factors may change.,Specified : Enforcing unique factors is governance.,Indirect : Selecting factor types involves reasoning.,,,
,8.2.4,"Addition, deletion, and modification of user IDs, authentication factors, and other identifier objects are authorised and implemented with documented approval.",Control Implementation Validation; Evidence Collection and Management,Specified : ID/factor change→approval chain explicit.,Indirect : Approvals explain decisions.,Indirect : Approval/change records exist; integrity not stated.,Indirect : Changes occur over lifecycle.,Specified : “Authorised … with documented approval” = governance.,Indirect : Assessing legitimacy involves reasoning.,,,
,8.2.5,Access for terminated users is immediately revoked.,Control Implementation Validation; Evidence Collection and Management,Specified : Termination event→revoke mapping explicit.,Indirect : Rationale is evident.,Indirect : Revocation records exist; integrity not mandated.,Indirect : Triggered per event.,Specified : Enforcing immediate revocation is governance.,Indirect : Handling edge cases requires reasoning.,,,
,8.2.6,Inactive user accounts are removed or disabled within 90 days of inactivity.,Control Implementation Validation; Evidence Collection and Management,Specified : Inactivity trigger→action within SLA explicit.,Indirect : Basis is clear.,Indirect : Action records exist; integrity not stated.,Specified : SLA cadence mandates adaptation.,Specified : Enforcing SLA is governance.,Indirect : Identifying legitimate exceptions involves reasoning.,,,
,8.2.7,"Accounts used by third parties for remote access are enabled only when needed, disabled when not in use, and monitored for unexpected activity.",Control Implementation Validation; Continuous Monitoring and Anomaly Detection,Specified : Need→enable/disable→monitor chain explicit.,Indirect : Monitoring findings aid understanding.,Indirect : Logs/alerts exist; integrity not stated.,Indirect : Usage patterns evolve; monitoring adapts.,Specified : Enabling/disabling/monitoring is governance.,Indirect : Defining “needed” and unexpected activity requires reasoning.,,,
,8.2.8,"If a user session is idle for more than 15 minutes, the user is required to re-authenticate to reactivate the session.",Control Implementation Validation,Specified : Idle threshold→re-auth rule explicit.,Not specified,Indirect : Config evidence exists; integrity not stated.,Indirect : Thresholds may change by policy.,Specified : Enforcing timeout is governance.,Indirect : Choosing thresholds involves reasoning.,,,
,8.3.1,"All user access to system components is authenticated via at least one factor (something you know, have, or are).",Control Implementation Validation,Specified : Access→factor requirement mapping explicit.,Not specified,Indirect : Config evidence exists; integrity not stated.,Indirect : Factor models evolve.,Specified : Enforcing factor requirement is governance.,Indirect : Selecting acceptable factors requires reasoning.,,,
,8.3.2,Strong cryptography is used to render all authentication factors unreadable during transmission and storage.,Control Implementation Validation,Specified : Factors→crypto protection mapping explicit.,Indirect : Choice of crypto is interpretable.,Specified : Crypto protection implies integrity/authenticity of factor data at rest/in transit.,Indirect : Crypto posture evolves.,Specified : Enforcing crypto is governance.,Indirect : Choosing algorithms/controls involves reasoning.,,,
,8.3.3,User identity is verified before modifying any authentication factor.,Control Implementation Validation; Evidence Collection and Management,Specified : Verify identity→then modify factor chain explicit.,Indirect : Verification steps explain changes.,Indirect : Verification records exist; integrity not specified.,Indirect : Verification methods may change.,Specified : Enforcing verification is governance.,Indirect : Selecting verification strength requires reasoning.,,,
,8.3.4,"Invalid authentication attempts are limited by locking out the account after not more than 10 attempts, with a lockout duration of at least 30 minutes or until identity is confirmed.",Control Implementation Validation,Specified : Attempts threshold→lockout duration rules explicit.,Indirect : Rationale is clear to reviewers.,Indirect : Lockout logs exist; integrity not mandated.,Indirect : Thresholds may change with policy.,Specified : Enforcing thresholds/durations is governance.,Indirect : Balancing usability vs security requires reasoning.,,,
,8.3.5,"Passwords/passphrases (if used) are unique at first use or reset, and forced to be changed immediately after first use.",Control Implementation Validation,Specified : Event→action mapping explicit.,Indirect : Basis understandable.,Indirect : Reset/change records exist; integrity not stated.,Indirect : Policies can evolve.,Specified : Enforcing uniqueness/change is governance.,Indirect : Handling exceptions requires reasoning.,,,
,8.3.6,Passwords/passphrases (if used) meet minimum complexity requirements: • At least 12 characters (or 8 if system limitation). • Include both numeric and alphabetic characters.,Control Implementation Validation,Specified : Complexity rules→enforcement mapping explicit.,Indirect : Rules are clear to reviewers.,Indirect : Config evidence exists; integrity not mandated.,Indirect : Rules may evolve.,Specified : Enforcing complexity is governance.,Indirect : Deciding exceptions/legacy requires reasoning.,,,
,8.3.7,New passwords/passphrases cannot be the same as any of the last four previously used.,Control Implementation Validation,Specified : History rule→enforcement explicit.,Not specified,Indirect : Evidence exists; integrity not stated.,Indirect : History depth may change.,Specified : Enforcing history is governance.,Indirect : Choosing depth involves reasoning.,,,
,8.3.8,"Authentication policies and procedures are documented and communicated to all users, including guidance on selecting and protecting authentication factors, non-reuse, and incident reporting.",Requirement-to-Control Mapping and Gap Analysis,Specified : Documentation/communication link policy→users.,Specified : Guidance provides human-readable explanation.,Indirect : Artefacts exist; integrity not stated.,Indirect : Guidance must update with changes.,Specified : Publication/communication is governance.,Indirect : Determining guidance content involves reasoning.,,,
,8.3.9,"If passwords/passphrases are the only authentication factor, they are changed at least every 90 days OR access is dynamically risk-assessed in real time.",Control Implementation Validation; Vulnerability and Risk Assessments (VA-RA),Specified : Option A (rotation) or B (risk-based) maps to control strategy.,Indirect : Strategy rationale is interpretable.,Indirect : Evidence exists (rotation logs/RBA configs); integrity not stated.,Specified : 90-day cadence or dynamic RBA = adaptation.,Specified : Selecting/enforcing strategy is governance.,Specified : RBA and rotation decisions require formal reasoning.,,,
,8.3.10,"(Service providers only) If passwords/passphrases are the only authentication factor for customer access to CHD, guidance is provided on when and how to change them.",Requirement-to-Control Mapping and Gap Analysis,Indirect : Guidance ties provider practices→customer actions; not mandated as trace.,Indirect : Guidance improves explainability.,Indirect : Artefacts exist; integrity not required.,Indirect : Guidance must evolve with best practice.,Specified : Providing/maintaining guidance is governance.,Indirect : Tailoring guidance involves reasoning.,,,
,8.3.10.1,"(Service providers only, effective March 2025) If passwords/passphrases are the only authentication factor, they must be changed every 90 days OR dynamic risk-based access is enforced.",Control Implementation Validation; Vulnerability and Risk Assessments (VA-RA),Specified : Effective-date trigger→control mapping explicit.,Indirect : Strategy choice is explainable.,Indirect : Evidence of compliance exists; integrity not stated.,Specified : Date-driven adoption enforces adaptation.,Specified : Enforcing chosen path is governance.,Specified : Selecting/applying RBA vs rotation is reasoning.,,,
,8.3.11,"Where tokens, smart cards, or certificates are used, they are assigned to individual users, not shared, and protected by controls ensuring only the intended user can use them.",Control Implementation Validation,Specified : Credential→individual mapping and protections explicit.,Indirect : Rationale is understandable.,Indirect : Assignment/protection records exist; integrity not stated.,Indirect : Protections evolve.,Specified : Assignment and controls are governance.,Indirect : Choosing controls requires reasoning.,,,
,8.4.1,MFA is implemented for all non-console administrative access into the CDE.,Control Implementation Validation,Specified : Access class→MFA mapping explicit.,Not specified,Indirect : Config evidence exists; integrity not mandated.,Indirect : Methods evolve.,Specified : Enforcing MFA is governance.,Indirect : Choosing factors/policies requires reasoning.,,,
,8.4.2,MFA is implemented for all non-console access into the CDE.,Control Implementation Validation,Specified : All non-console→MFA mapping explicit.,Not specified,Indirect : Evidence exists; integrity not mandated.,Indirect : Methods evolve.,Specified : Enforcing MFA is governance.,Indirect : Selecting configurations requires reasoning.,,,
,8.4.3,MFA is implemented for all remote access from outside the entity’s network that could access or impact the CDE.,Control Implementation Validation,Specified : Remote access→MFA mapping explicit.,Not specified,Indirect : Artefacts exist; integrity not mandated.,Indirect : Policies evolve.,Specified : Enforcing MFA is governance.,Indirect : Defining “could impact” requires reasoning.,,,
,8.5.1,"MFA systems are configured to resist replay attacks, require all factors to succeed before granting access, and cannot be bypassed except under documented, time-limited, management-approved exceptions.",Control Implementation Validation; Evidence Collection and Management,Specified : Security properties and exception controls map to configuration/evidence.,Indirect : Properties/exception docs explain behaviour.,Indirect : Config/exception records exist; integrity not mandated.,Indirect : Protections and exceptions evolve.,Specified : Management-approved exceptions/time-limited = governance.,Specified : Designing anti-replay and exception logic is structured reasoning.,,,
,8.6.1,"If application/system accounts can be used interactively, they are managed on an exception basis, approved by management, attributable to individuals, and time-limited.",Control Implementation Validation; Evidence Collection and Management,Specified : Exception→approval→attribution→time-limit chain explicit.,Indirect : Documentation clarifies rationale.,Indirect : Approval/attribution records exist; integrity not stated.,Indirect : Exceptions change with need.,Specified : Management approval and limits are governance.,Indirect : Determining necessity and limits involves reasoning.,,,
