Standard,Clause,Clause ID,Clause Text,Reference Model Function(s),Traceability,Adaptability,Action Governance,Evidence Integrity,Explainability,,,
Secure disposal or re-use of equipment,A.7.14,Items of equipment containing storage media shall be verified to ensure that any sensitive data and licensed software have been removed or securely overwritten prior to disposal or re-use.,,Evidence Collection and Management,"Specified : Verification ties equipment→sanitisation artefacts (e.g., certificates).",Indirect : Methods evolve with technology/data types.,Specified : Verification and enforcement are governance controls.,Specified : Verification to ensure removal/overwrite implies integrity of sanitisation evidence.,Indirect : Records/certificates explain assurance.,Indirect : Deciding methods/thresholds requires reasoning.,,
User end point devices,A.8.1,"Information stored on, processed by or accessible via user end point devices shall be protected.",,Control Implementation Validation; Vulnerability Assessment; Risk Assessment,"Indirect : Device→control mappings can be recorded, but a trace artefact is not mandated.",Indirect : Protections must evolve with device types/usage; cadence not stated.,"Specified : “Shall be protected” requires defined, enforced controls.",Not specified,Indirect : Documented controls make protections understandable.,Indirect : Choosing control sets per risk profile requires evaluation; no method prescribed.,,
Privileged access rights,A.8.2,The allocation and use of privileged access rights shall be restricted and managed.,,Control Implementation Validation; Continuous Monitoring and Anomaly Detection,Indirect : Rights→approvals→use can be mapped; explicit trace not required.,Indirect : Privilege models change with roles/systems.,Specified : “Restricted and managed” = formal governance over allocation and use.,Indirect : Logs/records implied; immutability not required.,Indirect : Defined restrictions clarify rationale.,Indirect : Deciding scopes/conditions for privilege requires reasoning; no formal steps mandated.,,
Information access restriction,A.8.3,Access to information and other associated assets shall be restricted in accordance with the established topic-specific policy on access control.,,Control Implementation Validation,Specified : “In accordance with … policy” maps access decisions to policy rules.,Indirect : Policies evolve; restrictions must follow.,Specified : Enforcing restrictions per policy is governance.,Indirect : Evidence of enforcement exists; integrity not specified.,Indirect : Policy-based restriction is reviewable by humans.,Indirect : Translating policy into enforcement rules requires reasoning.,,
Access to source code,A.8.4,"Read and write access to source code, development tools and software libraries shall be appropriately managed.",,Control Implementation Validation; Evidence Collection and Management,Indirect : Access control lists and approvals provide mappable lineage; not mandated.,Indirect : Controls adapt with repo/tools.,Specified : “Appropriately managed” implies defined processes and approvals.,Indirect : Access logs/reviews exist; no immutability specified.,Indirect : Criteria for “appropriate” are explainable in policy.,Indirect : Balancing dev needs vs risk requires reasoning.,,
Secure authentication,A.8.5,Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.,,Control Implementation Validation,Specified : “Based on … restrictions/policy” maps auth controls to access policy.,Indirect : Technologies/procedures evolve with threats.,Specified : Implementing technologies/procedures under policy is governance.,Indirect : Config docs/logs exist; no integrity mandate.,Indirect : Policy linkage makes choices understandable.,Indirect : Selecting mechanisms to meet policy requires reasoning.,,
Capacity management,A.8.6,The use of resources shall be monitored and adjusted in line with current and expected capacity requirements.,,Continuous Monitoring and Anomaly Detection,Indirect : Monitor→adjust chain can be recorded; not required.,Specified : Ongoing monitoring and adjustment mandate continual adaptation.,Specified : Adjustment decisions are governed actions.,Indirect : Monitoring data exist; immutability not specified.,Indirect : Documented thresholds/plans aid understanding.,Specified : Forecasting and tuning are reasoning activities against requirements.,,
Protection against malware,A.8.7,Protection against malware shall be implemented and supported by appropriate user awareness.,,Control Implementation Validation; Incident Response and Recovery,Indirect : Control sets map to threat models; trace not mandated.,Indirect : Protections and awareness must evolve with threats.,Specified : Implement protection + awareness = governance of both tech and people.,Indirect : Alerts/training records exist; no immutability.,Indirect : Awareness materials explain the why/how.,Indirect : Selecting protections and awareness scope requires reasoning.,,
Management of technical vulnerabilities,A.8.8,"Information about technical vulnerabilities of information systems in use shall be obtained, the organisation’s exposure evaluated and appropriate measures taken.",,Vulnerability Assessment; Risk Assessment; Continuous Monitoring and Anomaly Detection,Indirect : Feed→exposure→measures can be tracked; trace artefact not ordered.,Specified : Continuous obtain/evaluate/respond implies ongoing adaptation.,Specified : “Evaluated … measures taken” are governed decisions.,Indirect : Scan results/decisions exist; no integrity mandate.,Indirect : Evaluation notes make actions understandable.,Specified : Evaluation of exposure and measure selection are structured reasoning steps.,,
Configuration management,A.8.9,"Configurations of hardware, software, services and networks shall be established, documented, implemented, monitored and reviewed.",,Control Implementation Validation; Evidence Collection and Management,Specified : Establish→document→implement→monitor→review creates explicit lineage from baseline to state.,Specified : “Monitored and reviewed” mandate continual adaptation.,Specified : Change and review are governed processes.,Indirect : Config docs/logs exist; immutability not specified.,Indirect : Documented baselines make states understandable.,Indirect : Deciding baselines and deviations involves reasoning.,,
Information deletion,A.8.10,"Information stored in systems, devices or storage media shall be deleted when no longer required.",,Evidence Collection and Management,Indirect : Deletion decisions can map data→retention rules; not mandated.,Indirect : “No longer required” evolves with policy/regulation.,Specified : Enforcing deletion is a governed act.,"Specified : Demonstrable deletion implies preservation of deletion evidence (e.g., logs, certificates) with integrity expectations.",Indirect : Retention rules make timing understandable.,Indirect : Assessing necessity and applying methods requires reasoning.,,
Data masking,A.8.11,"Data masking shall be used in accordance with access control and business requirements, taking legislation into consideration.",,Control Implementation Validation,Specified : “In accordance with … requirements/legislation” maps masking rules to mandates.,Indirect : Requirements and laws change; masking must adapt.,Specified : Applying masking per requirements is governance.,Indirect : Configs/rules exist; immutability not stated.,Indirect : Rules explain masked/unmasked views.,Indirect : Selecting masking strategies to meet constraints requires reasoning.,,
Data leakage prevention,A.8.12,"Data leakage prevention measures shall be applied to systems, networks and devices that process, store or transmit sensitive information.",,Continuous Monitoring and Anomaly Detection; Incident Response and Recovery,Indirect : Measures map to data flows and sensitivity; trace not mandated.,Indirect : DLP tuning evolves with data/use.,Specified : “Shall be applied” requires governed deployment and response.,Indirect : DLP logs/alerts exist; no integrity mandate.,Indirect : Policies/rules explain enforcement actions.,Indirect : Choosing policies and responses requires reasoning.,,
Information backup,A.8.13,"Backup copies of information, software and systems shall be maintained and regularly tested in accordance with the agreed backup policy.",,Incident Response and Recovery; Evidence Collection and Management,Specified : “In accordance with … policy” maps backups/tests to policy rules.,Specified : “Regularly tested” mandates ongoing adaptation and validation.,Specified : Maintain/test per policy = governed programme.,Specified : Backups and tests must preserve integrity to be reliable evidence (consistency/restore checks).,Indirect : Policy/test reports explain readiness.,Indirect : Selecting schedules/coverage requires reasoning.,,
Redundancy of information processing facilities,A.8.14,Information processing facilities shall be implemented with redundancy sufficient to meet availability requirements.,,Incident Response and Recovery,Indirect : Redundancy design maps requirements→architecture; trace not mandated.,Indirect : Capacity/availability needs change over time.,Specified : Implementing and managing redundancy is governance.,Indirect : Test/monitor artefacts exist; no immutability.,Indirect : Availability requirements make sufficiency understandable.,Indirect : Architecture trade-offs require reasoning.,,
Logging,A.8.15,"Logs that record activities, exceptions, faults and relevant events shall be produced, stored, protected and analysed.",,Continuous Monitoring and Anomaly Detection; Evidence Collection and Management,Specified : Produce→store→protect→analyse defines an explicit evidence chain from event to analysis.,Indirect : Log scope/retention/tuning evolve with risks.,Specified : Operating logging/analysis is a governed function.,"Specified : “Protected” logs imply integrity, authenticity and preservation controls.",Indirect : Analysed logs make behaviour understandable.,Specified : Analysis of logs to derive findings requires structured reasoning.,,
Monitoring activities,A.8.16,"Networks, systems and applications shall be monitored for anomalous behaviour and appropriate actions taken to evaluate potential incidents.",,Continuous Monitoring and Anomaly Detection; Incident Response and Recovery,Indirect : Monitor→evaluate→act forms a chain; not mandated as formal trace.,Specified : Continuous monitoring with action implies ongoing adaptation.,Specified : “Actions taken to evaluate” are governed responses.,Indirect : Monitoring and evaluation records exist; no integrity mandate.,Indirect : Definitions of “anomalous” make behaviour reviewable.,Specified : Evaluating anomalies and deciding escalation involves structured reasoning.,,
Clock synchronisation,A.8.17,The clocks of information processing systems shall be synchronised to approved time sources.,,Control Implementation Validation,Specified : “To approved time sources” maps system time to authoritative sources for audit traceability.,Indirect : Time sources/offset policies can change.,Specified : Selecting “approved” sources is governance.,Specified : Synchronised time underpins integrity of logs and evidence correlation.,Indirect : Time source policy clarifies rationale.,Indirect : Choosing sources/strata/offset tolerances requires reasoning.,,
Use of privileged utility programmes,A.8.18,The use of utility programmes capable of overriding system and application controls shall be restricted and tightly controlled.,,Control Implementation Validation; Vulnerability Assessment; Risk Assessment,Indirect : Usage→approval→audit linkage can be recorded; not mandated.,Indirect : Restrictions adapt with tools/risks.,Specified : “Restricted and tightly controlled” = explicit governance and oversight.,Indirect : Use logs/approvals exist; integrity not specified.,Indirect : Defined restrictions make usage understandable.,Indirect : Assessing risk and defining controls requires reasoning.,,
Installation of software on operational systems,A.8.19,Procedures and measures shall be implemented to securely manage software installation on operational systems.,,Control Implementation Validation,Indirect : Procedures map request→approval→install; trace not mandated.,Indirect : Procedures must evolve with platforms/threats.,Specified : Implementing procedures/measures is governance.,Indirect : Change/install records exist; no integrity requirement.,Indirect : Procedures make control intent clear.,Indirect : Deciding scopes/whitelists/signing requires reasoning.,,
Networks security,A.8.20,"Networks and network devices shall be secured, managed and controlled to protect information in systems and applications.",,Control Implementation Validation; Vulnerability Assessment; Risk Assessment,Indirect : Controls map assets→risks; trace not mandated.,Indirect : Controls adapt with topology/threats.,"Specified : “Secured, managed and controlled” = governance.",Indirect : Configs/logs exist; immutability not specified.,Indirect : Documented architectures explain protections.,Indirect : Selecting controls per segment requires reasoning.,,
Security of network services,A.8.21,"Security mechanisms, service levels and service requirements of network services shall be identified, implemented and monitored.",,Control Implementation Validation; Continuous Monitoring and Anomaly Detection,Specified : Identify→implement→monitor maps requirements to controls and assurance.,Specified : Monitoring implies continual adaptation.,Specified : Implement/monitor under defined SLs = governance.,Indirect : Evidence exists; no integrity mandate.,Indirect : SLs/mechanisms are understandable to reviewers.,Indirect : Balancing SLs and mechanisms requires reasoning.,,
Segregation of networks,A.8.22,"Groups of services, users and systems shall be segregated in the organisation’s networks.",,Control Implementation Validation; Vulnerability Assessment; Risk Assessment,Indirect : Segregation design maps groups→controls; not mandated as trace.,Indirect : Segmentation evolves with services/users.,Specified : “Shall be segregated” requires governed design/enforcement.,Not specified,Indirect : Segmentation policies make intent clear.,Indirect : Deciding boundaries/trust zones requires reasoning.,,
Web filtering,A.8.23,Access to external websites shall be managed to reduce exposure to malicious content.,,Continuous Monitoring and Anomaly Detection,Indirect : Policy→filter→action chain can be recorded; not required.,Indirect : Lists/rules must evolve with threats.,Specified : “Shall be managed” under policy.,Indirect : Filtering logs exist; no integrity mandate.,Indirect : Policy rationale is explainable.,Indirect : Tuning categories/controls requires reasoning.,,
Use of cryptography,A.8.24,"Rules for the effective use of cryptography, including cryptographic key management, shall be defined and implemented.",,Control Implementation Validation,Specified : Rules map use-cases/keys→controls and procedures.,"Indirect : Crypto posture evolves (algorithms, lifetimes).",Specified : Define and implement = governance.,Specified : Key management implies integrity/authenticity of cryptographic material and evidence.,Indirect : Rules explain why/how crypto is applied.,Indirect : Selecting algorithms/parameters requires reasoning.,,
Secure development life cycle,A.8.25,Rules for the secure development of software and systems shall be established and applied.,,Control Implementation Validation,Specified : Rules map SDLC phases→security activities.,Indirect : Rules must evolve with practices/threats.,Specified : Establish/apply = governance.,Indirect : SDLC artefacts exist; integrity not mandated.,Indirect : Rules make SDLC expectations understandable.,Indirect : Choosing phase controls requires reasoning.,,
Application security requirements,A.8.26,"Information security requirements shall be identified, specified and approved when developing or acquiring applications.",,Vulnerability Assessment; Risk Assessment; Control Implementation Validation,Specified : Identify/specify/approve maps requirements→design/controls with an approval trail.,Indirect : Requirements evolve with business/threats.,Specified : Approval step = explicit governance.,Indirect : Requirements and approvals exist; no immutability.,Indirect : Specifications make intent clear.,Specified : Identification/specification/approval is a structured reasoning flow.,,
Secure system architecture and engineering,A.8.27,"Principles for engineering secure systems shall be established, documented, maintained and applied to development activities.",,Control Implementation Validation,Specified : Principles map to engineering decisions/artefacts.,Specified : “Maintained” mandates ongoing adaptation.,Specified : Establish/apply = governance.,Indirect : Documentation exists; integrity not mandated.,Indirect : Principles make design choices understandable.,Indirect : Applying principles to designs requires reasoning.,,
Secure coding,A.8.28,Secure coding principles shall be applied to software development.,,Control Implementation Validation,Indirect : Principles→code reviews/tests can be mapped; not mandated.,Indirect : Principles evolve with languages/risk.,Specified : “Shall be applied” under process control.,"Indirect : Evidence (reviews, static analysis) exists; no integrity mandate.",Indirect : Principles clarify expectations.,Indirect : Applying patterns/controls involves reasoning.,,
Security testing in development and acceptance,A.8.29,Security testing processes shall be defined and implemented in the development life cycle.,,Vulnerability Assessment; Risk Assessment; Control Implementation Validation,Specified : Defined processes map test objectives→methods→results.,Indirect : Processes evolve with systems/threats.,Specified : Define/implement = governance.,Indirect : Test results retained; integrity not specified.,Indirect : Test plans/results explain assurance.,Specified : Designing tests against risks/requirements is structured reasoning.,,
Outsourced development,A.8.30,"The organisation shall direct, monitor and review the activities related to outsourced system development.",,Control Implementation Validation; Evidence Collection and Management,Indirect : Direction/monitoring/review can map requirements→vendor actions; not mandated as trace.,Indirect : Controls adjust with vendor scope/performance.,Specified : Direct/monitor/review = governance over suppliers.,Indirect : Review evidence exists; no integrity mandate.,Indirect : Reports/contracts make expectations clear.,Indirect : Evaluating vendor performance/risks requires reasoning.,,
"Separation of development, test and production",A.8.31,"Development, testing and production environments shall be separated and secured.",,Control Implementation Validation,Indirect : Separation design maps environments→controls; not mandated.,Indirect : Environments and risks evolve.,Specified : “Shall be separated and secured” under governance.,Not specified,Indirect : Separation intent is clear to reviewers.,Indirect : Deciding boundaries/controls requires reasoning.,,
Change management,A.8.32,Changes to information processing facilities and systems shall be subject to change management procedures.,,Control Implementation Validation; Evidence Collection and Management,Specified : “Subject to … procedures” maps change→approval→implementation with records.,Specified : Procedure ensures ongoing adaptation via controlled change.,Specified : Change approvals/reviews are governance.,Indirect : Change records exist; immutability not specified.,Indirect : Procedures make decisions understandable.,Indirect : Risk/impact assessment in change is reasoning.,,
Test information,A.8.33,"Test information shall be appropriately selected, protected and managed.",,Evidence Collection and Management,Indirect : Selection/protection can map data→use cases; not mandated.,Indirect : Selections/protections evolve with testing needs.,Specified : “Appropriately … managed” under governance.,Specified : “Protected” implies integrity/confidentiality of test data and artefacts.,Indirect : Criteria for “appropriate” can be articulated.,Indirect : Balancing realism vs sensitivity requires reasoning.,,
Protection of systems during audit testing,A.8.34,Audit tests and assurance activities involving assessment of operational systems shall be planned and agreed to minimise risks to production.,,Audit and Reporting; Control Implementation Validation,Specified : “Planned and agreed” maps test scope→approvals→controls to protect production.,Indirect : Plans adjust with system/risk changes.,Specified : Planning and agreement are explicit governance gates.,Indirect : Plans/results exist; immutability not specified.,Indirect : Agreed plans make risk mitigations understandable.,Indirect : Selecting scope/mitigations involves reasoning.,,
